cycle,mean_biomass,min_biomass,max_biomass
0,2.705402010050251,2.0,3.5
1,2.705402010050251,2.0,3.5
2,2.8021199748744556,2.0,3.6
3,2.8989007537691975,2.0,3.7
4,2.9957129396981372,2.0,3.8000000000000003
5,3.0922110552764317,2.0,3.9000000000000004
6,3.1886463567839214,2.0,4.0
7,3.285050251256148,2.0,4.1
8,3.381642587940074,2.0,4.199999999999999
9,3.4783448492458504,2.1,4.299999999999999
10,3.574780150753997,2.2,4.399999999999999
11,3.6710898241206014,2.3000000000000003,4.499999999999998
12,3.767493718592672,2.3000000000000003,4.599999999999998
13,3.863897613065719,2.3000000000000003,4.6999999999999975
14,3.9603957286428204,2.3000000000000003,4.799999999999997
15,4.056862437186283,2.4000000000000004,4.899999999999997
16,4.153266331658296,2.5000000000000004,4.9999999999999964
17,4.249795854270984,2.6000000000000005,5.099999999999996
18,4.346403894472759,2.6000000000000005,5.199999999999996
19,4.443121859296076,2.6000000000000005,5.299999999999995
20,4.539667085427534,2.6000000000000005,5.399999999999995
21,4.6364635678392006,2.6000000000000005,5.499999999999995
22,4.733197236180492,2.6000000000000005,5.599999999999994
23,4.8043812814069735,2.6000000000000005,5.699999999999994
24,4.875204145728122,2.7000000000000006,5.799999999999994
25,4.945744346733519,2.8000000000000007,5.899999999999993
26,5.015954773869042,2.900000000000001,5.999999999999993
27,5.085568467336225,3.000000000000001,6.0999999999999925
28,5.154930904522504,3.100000000000001,6.199999999999992
29,5.223979271356201,3.2,6.299999999999992
30,5.292996231155575,3.2,6.3999999999999915
31,5.36195037688406,3.3000000000000003,6.499999999999991
32,5.4309673366829125,3.4000000000000004,6.599999999999991
33,5.499827261306376,3.5000000000000004,6.69999999999999
34,5.519378140703298,3.6000000000000005,6.79999999999999
35,5.538285175879289,3.7000000000000006,6.89999999999999
36,5.556564070351581,3.8000000000000007,6.999999999999989
37,5.574026381909316,3.900000000000001,7.099999999999989
38,5.59010678391945,4.000000000000001,7.199999999999989
39,5.6022141959797285,4.1000000000000005,7.199999999999989
40,5.613112437185835,4.100000000000001,7.199999999999989
41,5.622864321607898,4.100000000000001,7.199999999999989
42,5.631831030150584,4.100000000000001,7.199999999999989
43,5.639714195979784,4.100000000000001,7.1999999999999895
44,5.645226130653147,4.100000000000001,7.1999999999999895
45,5.650094221105439,4.100000000000001,7.1999999999999895
46,5.654396984924512,4.100000000000001,7.1999999999999895
47,5.658244346733527,4.100000000000001,7.1999999999999895
48,5.6619503768843025,4.100000000000001,7.1999999999999895
49,5.66515389447224,4.100000000000001,7.1999999999999895
50,5.6681689698491535,4.100000000000001,7.1999999999999895
51,5.671011306532544,4.100000000000001,7.1999999999999895
52,5.673618090452117,4.100000000000001,7.1999999999999895
53,5.675973618090331,4.100000000000001,7.19999999999999
54,5.676507537688323,4.100000000000001,7.19999999999999
55,5.677057160803905,4.100000000000001,7.19999999999999
56,5.677575376884303,4.100000000000001,7.19999999999999
57,5.6780621859295275,4.100000000000001,7.19999999999999
58,5.678423366834048,4.100000000000001,7.19999999999999
59,5.678658919597865,4.100000000000001,7.19999999999999
60,5.678815954773745,4.100000000000001,7.19999999999999
61,5.6789729899496235,4.100000000000001,7.19999999999999
62,5.67908291457274,4.100000000000001,7.19999999999999
63,5.679224246231032,4.100000000000001,7.19999999999999
64,5.679318467336559,4.100000000000001,7.19999999999999
65,5.6794126884420875,4.100000000000001,7.19999999999999
66,5.67953831658279,4.100000000000001,7.19999999999999
67,5.679663944723493,4.100000000000001,7.19999999999999
68,5.679789572864197,4.100000000000001,7.19999999999999
69,5.679868090452137,4.100000000000001,7.19999999999999
70,5.679978015075252,4.100000000000001,7.19999999999999
71,5.680072236180781,4.100000000000001,7.19999999999999
72,5.680119346733544,4.100000000000001,7.19999999999999
73,5.679993718592837,4.100000000000001,7.19999999999999
74,5.679930904522487,4.100000000000001,7.19999999999999
75,5.679930904522488,4.100000000000001,7.19999999999999
76,5.679946608040075,4.100000000000001,7.19999999999999
77,5.679962311557663,4.100000000000001,7.19999999999999
78,5.680025125628015,4.100000000000001,7.19999999999999
79,5.679946608040075,4.100000000000001,7.19999999999999
80,5.680056532663192,4.100000000000001,7.19999999999999
81,5.6800879396983674,4.100000000000001,7.19999999999999
82,5.680182160803896,4.100000000000001,7.19999999999999
83,5.680213567839071,4.100000000000001,7.19999999999999
84,5.6802292713566604,4.100000000000001,7.19999999999999
85,5.6802292713566604,4.100000000000001,7.19999999999999
86,5.680260678391836,4.100000000000001,7.19999999999999
87,5.680276381909424,4.100000000000001,7.19999999999999
88,5.680276381909424,4.100000000000001,7.19999999999999
89,5.680292085427011,4.100000000000001,7.19999999999999
90,5.680339195979774,4.100000000000001,7.19999999999999
